,missing_count,missing_percent
GWILL,46134,100.0
latitude,40166,87.064
longtitude,40166,87.064
noaa_ar,36791,79.748
deeps_flare_id,29893,64.796
peak_datetime,29893,64.796
xray_intensity,29893,64.796
source,29893,64.796
end_datetime,29893,64.796
delta_hours,29893,64.796
start_datetime,29893,64.796
xray_class,29893,64.796
MEANSHR,50,0.108
MEANJZH,5,0.011
MEANPOT,5,0.011
MEANALP,5,0.011
SHRGT45,5,0.011
MEANJZD,5,0.011
MEANGBH,5,0.011
MEANGBZ,5,0.011
MEANGBT,5,0.011
MEANGAM,5,0.011
h48_delta05,0,0.0
h24_delta05,0,0.0
h48_poscmx,0,0.0
HARP_NUM,0,0.0
h24_poscmx,0,0.0
valid_now,0,0.0
valid_6h,0,0.0
valid_12h,0,0.0
valid_24h,0,0.0
valid_48h,0,0.0
h48_posmx,0,0.0
h12_flare_id,0,0.0
h24_posmx,0,0.0
t_rec_str,0,0.0
USFLUX,0,0.0
TOTUSJZ,0,0.0
TOTUSJH,0,0.0
ABSNJZH,0,0.0
SAVNCPP,0,0.0
TOTPOT,0,0.0
R_VALUE,0,0.0
harpnum_trec,0,0.0
now_flare_level,0,0.0
h48_flare_id,0,0.0
now_flare_id,0,0.0
h6_flare_level,0,0.0
h6_flare_id,0,0.0
h12_flare_level,0,0.0
T_REC_DATETIME,0,0.0
h24_flare_level,0,0.0
h24_flare_id,0,0.0
h48_flare_level,0,0.0
temporal_valid,0,0.0
